"account_name,platform,content_category,post_type,likes,shares,comments,impressions,followers_gained,date"
"SpiritualSage,Instagram,spirituality,reel,4500,345,378,16600,93,2024-01-01"
"TechWorld,Instagram,technology,static_image,890,156,134,5200,25,2024-01-01"
"ShowBuzz,Instagram,entertainment,reel,6064,1146,1068,52798,125,2024-01-01"
"MindfulMoments,Twitter,spirituality,reel,3719,273,484,18008,82,2024-01-01"
"InnerPeace,Twitter,spirituality,static_image,1889,310,227,14567,64,2024-01-02"
"GameTime,Twitter,sports,long_form,2836,316,176,11579,82,2024-01-02"
"MindfulMoments,Twitter,spirituality,reel,6647,539,458,16159,129,2024-01-02"
"ShowBuzz,Instagram,entertainment,carousel,12188,561,761,40137,113,2024-01-02"
"CulinaryCloud,Twitter,food,long_form,2938,195,257,9612,56,2024-01-03"
"FoodieHeaven,Twitter,food,carousel,3787,318,244,15227,84,2024-01-03"
"EntertainPro,Instagram,entertainment,reel,9374,720,1155,48335,251,2024-01-03"
"SportsHub,Facebook,sports,carousel,5372,524,450,28059,80,2024-01-03"
"SportsHub,Twitter,sports,carousel,3094,316,424,16747,106,2024-01-04"
"CulinaryCloud,Facebook,food,carousel,3424,270,432,21500,112,2024-01-04"
"MindfulMoments,Facebook,spirituality,static_image,3792,385,340,15829,74,2024-01-04"
"AthletePro,Facebook,sports,long_form,2220,463,361,13345,111,2024-01-04"
"FutureTech,Twitter,technology,reel,4072,449,213,11287,47,2024-01-05"
"AthletePro,Twitter,sports,long_form,2535,299,231,13886,46,2024-01-05"
"ShowBuzz,Instagram,entertainment,static_image,3121,453,650,19298,140,2024-01-05"
"EntertainPro,Twitter,entertainment,reel,3504,335,629,25587,67,2024-01-05"
"TastyTales,Twitter,food,long_form,2365,261,225,14677,76,2024-01-06"
"CelebScene,Instagram,entertainment,reel,11777,629,1335,53868,185,2024-01-06"
"CulinaryCloud,Twitter,food,carousel,3691,241,391,19176,60,2024-01-06"
"GameTime,Facebook,sports,long_form,4644,274,196,18391,101,2024-01-06"
"SportsHub,Facebook,sports,long_form,3266,378,306,12802,48,2024-01-07"
"AthletePro,Twitter,sports,static_image,2513,173,258,9111,51,2024-01-07"
"SpiritualSage,Facebook,spirituality,static_image,4772,380,428,19241,70,2024-01-07"
"CelebScene,Facebook,entertainment,static_image,4184,312,601,21836,147,2024-01-07"
"CulinaryCloud,Facebook,food,carousel,2554,324,512,16658,109,2024-01-08"
"TastyTales,Twitter,food,carousel,3289,352,431,20028,103,2024-01-08"
"CulinaryCloud,Twitter,food,static_image,3114,187,277,12555,58,2024-01-08"
"CelebScene,Twitter,entertainment,carousel,6896,522,612,16634,143,2024-01-08"
"ShowBuzz,Twitter,entertainment,reel,4790,581,665,17132,219,2024-01-09"
"InnerPeace,Instagram,spirituality,long_form,5338,566,551,21254,72,2024-01-09"
"TechWorld,Instagram,technology,carousel,4970,393,310,14743,60,2024-01-09"
"MindfulMoments,Twitter,spirituality,long_form,3302,267,360,10811,87,2024-01-09"
"TechWorld,Twitter,technology,long_form,1954,322,77,6760,33,2024-01-10"
"EntertainPro,Twitter,entertainment,long_form,4006,403,303,14883,72,2024-01-10"
"CelebScene,Facebook,entertainment,reel,7758,856,639,34504,235,2024-01-10"
"SportsHub,Instagram,sports,long_form,2445,547,482,21618,139,2024-01-10"
"SpiritualSage,Facebook,spirituality,static_image,2580,235,261,9816,37,2024-01-11"
"GameTime,Twitter,sports,reel,2533,403,311,18982,126,2024-01-11"
"SportsHub,Instagram,sports,long_form,5728,408,340,14087,52,2024-01-11"
"TastyTales,Facebook,food,long_form,3393,299,276,15287,48,2024-01-11"
"TastyTales,Facebook,food,carousel,2871,415,418,14266,108,2024-01-12"
"FutureTech,Facebook,technology,long_form,1435,333,248,9322,37,2024-01-12"
"TechWorld,Instagram,technology,static_image,3262,410,228,12471,43,2024-01-12"
"FutureTech,Twitter,technology,long_form,2591,198,211,12857,54,2024-01-12"
"FoodieHeaven,Instagram,food,carousel,3336,385,762,20637,182,2024-01-13"
"ShowBuzz,Instagram,entertainment,long_form,8263,501,546,21008,225,2024-01-13"
"GameTime,Twitter,sports,long_form,1887,383,311,15201,36,2024-01-13"
"AthletePro,Twitter,sports,carousel,2723,322,274,17754,74,2024-01-13"
"DigitalDaily,Facebook,technology,carousel,3418,439,151,12607,85,2024-01-14"
"AthletePro,Facebook,sports,long_form,4347,324,255,14619,86,2024-01-14"
"ShowBuzz,Instagram,entertainment,static_image,4180,448,550,26916,89,2024-01-14"
"SpiritualSage,Instagram,spirituality,reel,5927,422,1022,30776,245,2024-01-14"
"FutureTech,Instagram,technology,carousel,4046,655,397,20005,127,2024-01-15"
"InnerPeace,Facebook,spirituality,static_image,3916,246,399,15010,62,2024-01-15"
"CulinaryCloud,Twitter,food,carousel,3383,327,452,18803,80,2024-01-15"
"EntertainPro,Twitter,entertainment,carousel,7216,292,612,19894,68,2024-01-15"
"MindfulMoments,Instagram,spirituality,long_form,3082,383,586,27532,146,2024-01-16"
"TechWorld,Instagram,technology,long_form,3173,482,117,16061,77,2024-01-16"
"GameTime,Twitter,sports,static_image,1778,286,208,8861,57,2024-01-16"
"FutureTech,Instagram,technology,static_image,1610,428,164,16671,39,2024-01-16"
"TastyTales,Twitter,food,carousel,2760,194,480,16429,71,2024-01-17"
"CelebScene,Twitter,entertainment,reel,5358,605,763,29303,184,2024-01-17"
"EntertainPro,Instagram,entertainment,long_form,4616,602,576,31339,60,2024-01-17"
"GameTime,Facebook,sports,long_form,2756,241,357,14547,109,2024-01-17"
"SpiritualSage,Instagram,spirituality,carousel,5338,514,648,37915,160,2024-01-18"
"AthletePro,Twitter,sports,static_image,1920,324,204,7997,42,2024-01-18"
"ShowBuzz,Twitter,entertainment,carousel,6953,390,741,25200,60,2024-01-18"
"CelebScene,Instagram,entertainment,static_image,5012,671,581,30162,126,2024-01-18"
"TechWorld,Twitter,technology,carousel,2927,174,144,16464,38,2024-01-19"
"FoodieHeaven,Instagram,food,long_form,3965,346,297,16726,86,2024-01-19"
"TastyTales,Facebook,food,carousel,4972,418,307,19570,121,2024-01-19"
"SpiritualSage,Twitter,spirituality,carousel,2733,327,316,16906,73,2024-01-19"
"TastyTales,Twitter,food,long_form,3444,232,236,14245,76,2024-01-20"
"EntertainPro,Twitter,entertainment,long_form,3142,447,353,21239,137,2024-01-20"
"SportsHub,Facebook,sports,carousel,4029,594,520,13644,109,2024-01-20"
"ShowBuzz,Facebook,entertainment,long_form,2840,335,448,26420,47,2024-01-20"
"CulinaryCloud,Instagram,food,reel,6870,447,456,35120,136,2024-01-21"
"SpiritualSage,Twitter,spirituality,static_image,2412,277,234,10097,43,2024-01-21"